21 3
1.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
4.99999999999991e-02 0.00000000000000e+00 0.00000000000000e+00
9.99999999999983e-02 0.00000000000000e+00 0.00000000000000e+00
1.49999999999997e-01 0.00000000000000e+00 0.00000000000000e+00
1.99999999999997e-01 0.00000000000000e+00 0.00000000000000e+00
2.49999999999997e-01 0.00000000000000e+00 0.00000000000000e+00
2.99999999999997e-01 0.00000000000000e+00 0.00000000000000e+00
3.49999999999997e-01 0.00000000000000e+00 0.00000000000000e+00
3.99999999999997e-01 0.00000000000000e+00 0.00000000000000e+00
4.49999999999998e-01 0.00000000000000e+00 0.00000000000000e+00
4.99999999999998e-01 0.00000000000000e+00 0.00000000000000e+00
5.49999999999998e-01 0.00000000000000e+00 0.00000000000000e+00
5.99999999999998e-01 0.00000000000000e+00 0.00000000000000e+00
6.49999999999998e-01 0.00000000000000e+00 0.00000000000000e+00
6.99999999999999e-01 0.00000000000000e+00 0.00000000000000e+00
7.49999999999999e-01 0.00000000000000e+00 0.00000000000000e+00
7.99999999999999e-01 0.00000000000000e+00 0.00000000000000e+00
8.49999999999999e-01 0.00000000000000e+00 0.00000000000000e+00
8.99999999999999e-01 0.00000000000000e+00 0.00000000000000e+00
9.50000000000000e-01 0.00000000000000e+00 0.00000000000000e+00

