22368	3
0.920606	-0.0435068	0.388062
0.877394	-0.0435041	0.477795
0.825462	-0.0435033	0.562779
0.765327	-0.0435046	0.64217
0.697587	-0.0435104	0.715178
0.622918	-0.0435216	0.781076
0.542066	-0.043535	0.839207
0.455846	-0.0435394	0.888993
0.365126	-0.0435129	0.929941
0.270828	-0.0435043	0.961644
0.173865	-0.0437418	0.983798
0.0749978	-0.044869	0.996174
-0.0366083	0.0350398	0.998715
-0.0257914	-0.0432449	-0.998732
-0.0260186	-0.0512073	0.998349
-0.0253765	0.0437937	-0.998718
-0.0505822	0.000391917	-0.99872
-0.0559944	-0.0111985	0.998368
0.245454	-0.0870811	-0.965489
0.340459	-0.087076	-0.936219
0.432069	-0.0870454	-0.89763
0.519339	-0.0870302	-0.850125
0.601429	-0.0870226	-0.794172
0.677537	-0.0870001	-0.730325
0.746891	-0.0869965	-0.659231
0.80881	-0.0869948	-0.5816
0.862693	-0.0869963	-0.49819
0.908013	-0.0869827	-0.409812
0.944312	-0.0869773	-0.317349
0.971224	-0.0869697	-0.22172
0.988477	-0.0869671	-0.123897
0.995902	-0.0869529	-0.0248546
0.993429	-0.0869353	0.0744322
0.981083	-0.0869213	0.172978
0.958984	-0.0869136	0.269805
0.927356	-0.0869124	0.363947
0.886513	-0.0869057	0.45447
0.836859	-0.0869036	0.540476
0.77889	-0.0869049	0.62111
0.713182	-0.0869138	0.69557
0.640392	-0.0869355	0.763112
0.56125	-0.0869656	0.823065
0.476561	-0.0869898	0.874827
0.387195	-0.0869524	0.917888
0.294099	-0.0869002	0.951816
0.198202	-0.087119	0.976282
0.100422	-0.0885174	0.991
0.00132893	-0.0935918	0.99561
0.0488065	-0.0869846	-0.995013
0.0992969	0.0871704	-0.991232
0.1488	0.0871804	-0.985017
0.197953	0.0872589	-0.97632
0.246635	0.0873258	-0.965166
0.294733	0.0874135	-0.951573
0.342125	0.0875224	-0.93557
0.388683	0.0876492	-0.917193
0.434283	0.08779	-0.896488
0.478801	0.0879409	-0.873508
0.522118	0.0880981	-0.848311
0.56412	0.088258	-0.820962
0.604698	0.0884176	-0.791532
0.643746	0.0885748	-0.760096
0.681164	0.0887278	-0.726734
0.716858	0.0888757	-0.691531
0.750737	0.0890177	-0.654577
0.782713	0.0891536	-0.615965
0.812706	0.0892831	-0.575793
0.84064	0.0894061	-0.534164
0.866444	0.0895225	-0.491183
0.890053	0.0896321	-0.446959
0.911406	0.0897347	-0.401604
0.930451	0.0898297	-0.355235
0.947138	0.0899164	-0.307968
0.961426	0.0899941	-0.259925
0.973279	0.0900615	-0.211228
0.982667	0.0901174	-0.162001
0.989568	0.0901605	-0.11237
0.993964	0.0901893	-0.0624617
0.995846	0.0902019	-0.0124057
0.995211	0.0901956	0.0376688
0.992064	0.0901668	0.0876314
0.986415	0.0901114	0.137353
0.978283	0.0900262	0.186705
0.967691	0.0899107	0.235562
0.954672	0.0897682	0.283801
0.939261	0.0896063	0.331301
0.921498	0.0894367	0.377944
0.901431	0.0892758	0.423618
0.879113	0.0891351	0.468204
0.854612	0.089003	0.511583
0.82799	0.0888633	0.553657
0.799281	0.0887617	0.594366
0.768531	0.0887961	0.63362
0.73587	0.0889473	0.671256
0.701467	0.0889552	0.707129
0.665439	0.0885473	0.741182
0.627781	0.0878963	0.773411
0.588417	0.0875825	0.8038
0.547446	0.0879928	0.832202
0.505069	0.0887879	0.8585
0.461322	0.0893133	0.882726
0.416341	0.0894812	0.904795
0.370355	0.0893589	0.924582
0.323641	0.0889372	0.941991
0.276514	0.0880579	0.956967
0.229215	0.0865414	0.969521
0.181321	0.0851488	0.979731
0.132533	0.0850737	0.987521
0.0831809	0.0856077	0.992851
0.0327896	0.0842993	0.995901
-0.00116219	-0.0868028	-0.996225
0.147965	-0.0870798	-0.985151
0.0985765	-0.087039	-0.991316
-0.000383646	0.0872503	-0.996186
0.196959	-0.0870894	-0.976536
0.0495312	0.087197	-0.994959
-0.0186367	0.0800355	0.996618
-0.0774907	-0.0587076	0.995263
0.293327	-0.0870759	-0.952038
0.386751	-0.0870585	-0.918066
0.476289	-0.0870536	-0.874969
0.561077	-0.0870442	-0.823175
0.640276	-0.0870217	-0.7632
0.713097	-0.0870119	-0.695645
0.778813	-0.0870128	-0.621192
0.836786	-0.0870123	-0.540571
0.886451	-0.0870021	-0.454572
0.927312	-0.0869977	-0.364038
0.958959	-0.0869859	-0.269872
0.981069	-0.0869821	-0.173024
0.993423	-0.0869755	-0.074469
0.995903	-0.0869557	0.0248199
0.988484	-0.0869408	0.123858
0.97124	-0.0869287	0.221667
0.944343	-0.0869251	0.317271
0.908062	-0.0869214	0.409717
0.862758	-0.0869156	0.498091
0.80888	-0.0869152	0.581515
0.746965	-0.0869199	0.659157
0.677629	-0.0869359	0.730247
0.601568	-0.0869632	0.794074
0.51955	-0.0869928	0.85
0.432419	-0.0869946	0.897466
0.341059	-0.0869245	0.936014
0.246472	-0.086947	0.965242
0.149543	-0.0876087	0.984866
0.0509893	-0.0902523	0.994613
-0.0704438	0.0731978	0.994826
-0.075533	0.0440262	-0.996171
-0.0512417	-0.0864851	-0.994934
-0.050358	0.0873745	-0.994902
