8472	3
0.45	0.5	0
0.4	0.5	0
0.35	0.5	0
0.3	0.5	0
0.25	0.5	0
0.2	0.5	0
0.15	0.5	0
0.1	0.5	0
0.05	0.5	0
0	0.45	0
0	0.4	0
0	0.35	0
0	0.3	0
0	0.25	0
0	0.2	0
0	0.15	0
0	0.1	0
0	0.05	0
0	0.497435	0.0505842
0	0.489765	0.100649
0	0.47707	0.149682
0	0.459479	0.197178
0	0.437173	0.242651
0	0.410382	0.285634
0	0.379379	0.325686
0	0.344483	0.362396
0	0.306053	0.395388
0	0.264482	0.424322
0	0.220197	0.448902
0	0.173653	0.468876
0	0.125326	0.484039
0	0.0757139	0.494234
0	0.0253246	0.499358
0	-0.0253246	0.499358
0	-0.0757139	0.494234
0	-0.125326	0.484039
0	-0.173653	0.468876
0	-0.220197	0.448902
0	-0.264482	0.424322
0	-0.306053	0.395388
0	-0.344483	0.362396
0	-0.379379	0.325686
0	-0.410382	0.285634
0	-0.437173	0.242651
0	-0.459479	0.197178
0	-0.47707	0.149682
0	-0.489765	0.100649
0	-0.497435	0.0505842
1	0.497435	0.0505842
1	0.489765	0.100649
1	0.47707	0.149682
1	0.459479	0.197178
1	0.437173	0.242651
1	0.410382	0.285634
1	0.379379	0.325686
1	0.344483	0.362396
1	0.306053	0.395388
1	0.264482	0.424322
1	0.220197	0.448902
1	0.173653	0.468876
1	0.125326	0.484039
1	0.0757139	0.494234
1	0.0253246	0.499358
1	-0.0253246	0.499358
1	-0.0757139	0.494234
1	-0.125326	0.484039
1	-0.173653	0.468876
1	-0.220197	0.448902
1	-0.264482	0.424322
1	-0.306053	0.395388
1	-0.344483	0.362396
1	-0.379379	0.325686
1	-0.410382	0.285634
1	-0.437173	0.242651
1	-0.459479	0.197178
1	-0.47707	0.149682
1	-0.489765	0.100649
1	-0.497435	0.0505842
1.5	0.245196	0.0487726
1.5	0.23097	0.0956709
1.5	0.207867	0.138893
1.5	0.176777	0.176777
1.5	0.138893	0.207867
1.5	0.0956709	0.23097
1.5	0.0487726	0.245196
1.5	2.92864e-16	0.25
1.5	-0.0487726	0.245196
1.5	-0.0956709	0.23097
1.5	-0.138893	0.207867
1.5	-0.176777	0.176777
1.5	-0.207867	0.138893
1.5	-0.23097	0.0956709
1.5	-0.245196	0.0487726
2	0.245196	0.0487726
2	0.23097	0.0956709
2	0.207867	0.138893
2	0.176777	0.176777
2	0.138893	0.207867
2	0.0956709	0.23097
2	0.0487726	0.245196
2	2.92864e-16	0.25
2	-0.0487726	0.245196
2	-0.0956709	0.23097
2	-0.138893	0.207867
2	-0.176777	0.176777
2	-0.207867	0.138893
2	-0.23097	0.0956709
2	-0.245196	0.0487726
2.5	0.497435	0.0505842
2.5	0.489765	0.100649
2.5	0.47707	0.149682
2.5	0.459479	0.197178
2.5	0.437173	0.242651
2.5	0.410382	0.285634
2.5	0.379379	0.325686
2.5	0.344483	0.362396
2.5	0.306053	0.395388
2.5	0.264482	0.424322
2.5	0.220197	0.448902
2.5	0.173653	0.468876
2.5	0.125326	0.484039
2.5	0.0757139	0.494234
2.5	0.0253246	0.499358
2.5	-0.0253246	0.499358
2.5	-0.0757139	0.494234
2.5	-0.125326	0.484039
2.5	-0.173653	0.468876
2.5	-0.220197	0.448902
2.5	-0.264482	0.424322
2.5	-0.306053	0.395388
2.5	-0.344483	0.362396
2.5	-0.379379	0.325686
2.5	-0.410382	0.285634
2.5	-0.437173	0.242651
2.5	-0.459479	0.197178
2.5	-0.47707	0.149682
2.5	-0.489765	0.100649
2.5	-0.497435	0.0505842
4	0.497435	0.0505842
4	0.489765	0.100649
4	0.47707	0.149682
4	0.459479	0.197178
4	0.437173	0.242651
4	0.410382	0.285634
4	0.379379	0.325686
4	0.344483	0.362396
4	0.306053	0.395388
4	0.264482	0.424322
4	0.220197	0.448902
4	0.173653	0.468876
4	0.125326	0.484039
4	0.0757139	0.494234
4	0.0253246	0.499358
4	-0.0253246	0.499358
4	-0.0757139	0.494234
4	-0.125326	0.484039
4	-0.173653	0.468876
4	-0.220197	0.448902
4	-0.264482	0.424322
4	-0.306053	0.395388
4	-0.344483	0.362396
4	-0.379379	0.325686
4	-0.410382	0.285634
4	-0.437173	0.242651
4	-0.459479	0.197178
4	-0.47707	0.149682
4	-0.489765	0.100649
4	-0.497435	0.0505842
0.0677748	-0.0428667	5.24965e-18
0.172113	-0.0468613	5.73885e-18
0.274857	-0.0436258	5.34262e-18
0.375726	-0.0443843	5.43551e-18
0.475814	-0.0450846	5.52128e-18
0.575982	-0.0449497	5.50475e-18
0.676003	-0.044839	5.4912e-18
0.77598	-0.0446935	5.47337e-18
0.87564	-0.0440837	5.3987e-18
0.975396	-0.043394	5.31423e-18
1.07529	-0.044	5.38844e-18
1.17476	-0.0445215	5.45231e-18
1.27442	-0.0445772	5.45913e-18
1.37458	-0.0464802	5.69218e-18
1.47591	-0.0470434	5.76116e-18
1.57645	-0.0434077	5.31591e-18
1.67582	-0.0415348	5.08654e-18
1.77508	-0.0417651	5.11475e-18
1.87477	-0.0419403	5.1362e-18
1.97566	-0.0449354	5.503e-18
2.07453	-0.0432249	5.29352e-18
2.17399	-0.0452	5.53541e-18
2.27499	-0.0433823	5.31279e-18
2.37526	-0.0432851	5.3009e-18
2.47503	-0.043583	5.33738e-18
2.57476	-0.0439361	5.38062e-18
2.67453	-0.0444177	5.4396e-18
2.77451	-0.0447354	5.4785e-18
2.8749	-0.0447066	5.47498e-18
2.97524	-0.0444508	5.44365e-18
3.07534	-0.0438062	5.36471e-18
3.17562	-0.0441322	5.40463e-18
3.2755	-0.0447145	5.47594e-18
3.37533	-0.0442067	5.41376e-18
3.47528	-0.0442186	5.41522e-18
3.5751	-0.044286	5.42347e-18
3.6755	-0.0440604	5.39584e-18
3.77598	-0.0433357	5.30709e-18
3.87351	-0.041813	5.12062e-18
3.95495	-0.0687968	8.42518e-18
3.95399	-0.172985	2.11845e-17
3.95777	-0.274057	3.35623e-17
3.95501	-0.372989	4.5678e-17
3.93044	-0.455831	5.58232e-17
3.82478	-0.456923	5.59569e-17
3.72376	-0.457456	5.60222e-17
3.62459	-0.455767	5.58154e-17
3.52485	-0.455499	5.57825e-17
3.42474	-0.455016	5.57234e-17
3.32483	-0.455443	5.57757e-17
3.22475	-0.456233	5.58725e-17
3.12456	-0.456095	5.58556e-17
3.02462	-0.455949	5.58377e-17
2.92494	-0.456675	5.59266e-17
2.82516	-0.456644	5.59228e-17
2.72551	-0.455451	5.57767e-17
2.62476	-0.454184	5.56215e-17
2.51114	-0.449482	5.50457e-17
2.45475	-0.425281	5.20819e-17
2.35996	-0.38088	4.66443e-17
2.2687	-0.336244	4.1178e-17
2.17828	-0.2912	3.56618e-17
2.08703	-0.240827	2.94928e-17
1.97805	-0.206117	2.5242e-17
1.87485	-0.208569	2.55423e-17
1.77499	-0.208513	2.55355e-17
1.67507	-0.208206	2.54979e-17
1.57171	-0.203236	2.48893e-17
1.46026	-0.22131	2.71027e-17
1.36806	-0.265697	3.25384e-17
1.27647	-0.311452	3.81419e-17
1.18511	-0.356811	4.36967e-17
1.09302	-0.403209	4.93788e-17
0.988983	-0.450844	5.52125e-17
0.92836	-0.453859	5.55817e-17
0.824824	-0.454653	5.5679e-17
0.72414	-0.455059	5.57287e-17
0.624062	-0.455274	5.5755e-17
0.524175	-0.455465	5.57783e-17
0.424541	-0.456026	5.58471e-17
0.325165	-0.456735	5.59339e-17
0.22586	-0.457122	5.59813e-17
0.126925	-0.454927	5.57125e-17
0.0440073	-0.430761	5.2753e-17
0.0426092	-0.325979	3.99209e-17
0.0447113	-0.22499	2.75533e-17
0.0473401	-0.124957	1.53029e-17
0.120373	-0.0463654	5.67813e-18
0.223655	-0.0450581	5.51802e-18
0.325531	-0.0436323	5.34342e-18
0.425712	-0.0448865	5.49702e-18
0.525864	-0.0450063	5.51168e-18
0.625997	-0.0448735	5.49542e-18
0.725968	-0.0447823	5.48425e-18
