401	3
0.87366	0.0439213	0
0.0410079	0.930044	0
0.0427589	0.827036	0
0.0451098	0.727257	0
0.044372	0.625896	0
0.0422783	0.524933	0
0.041854	0.424803	0
0.0430597	0.325322	0
0.0434047	0.226077	0
0.0447101	0.126881	0
0.955952	0.0692641	0
0.955746	0.175086	0
0.957143	0.275405	0
0.956999	0.374698	0
0.957616	0.474598	0
0.956769	0.575003	0
0.952302	0.675667	0
0.955344	0.775543	0
0.953398	0.874065	0
0.930465	0.956647	0
0.826815	0.957895	0
0.72673	0.957411	0
0.626243	0.957166	0
0.526206	0.957563	0
0.425219	0.956446	0
0.32439	0.953384	0
0.224792	0.955416	0
0.129969	0.960067	0
0.0832163	0.953576	0
0.78854	0.528994	0
0.77805	0.58644	0
0.755081	0.640033	0
0.721586	0.686987	0
0.678952	0.727187	0
0.629185	0.760468	0
0.573326	0.78116	0
0.513808	0.789459	0
0.455099	0.786842	0
0.397292	0.772861	0
0.344964	0.746521	0
0.3002	0.708423	0
0.263984	0.664673	0
0.234835	0.615071	0
0.216781	0.560625	0
0.210002	0.502097	0
0.214319	0.442951	0
0.232636	0.386936	0
0.259895	0.334338	0
0.296325	0.288821	0
0.344037	0.251537	0
0.397481	0.226425	0
0.455116	0.213039	0
0.513284	0.210698	0
0.571541	0.219293	0
0.626239	0.239713	0
0.675856	0.271462	0
0.718224	0.310889	0
0.752382	0.358284	0
0.776972	0.411818	0
0.788339	0.469552	0
0.122333	0.0453021	0
0.225504	0.0426496	0
0.325784	0.0448463	0
0.425693	0.043221	0
0.526362	0.0425555	0
0.626772	0.0443951	0
0.726037	0.042822	0
0.824919	0.0420614	0
0.917865	0.0420113	0
0.0406362	0.876972	0
0.0445209	0.777293	0
0.0448319	0.676694	0
0.043668	0.575223	0
0.0413958	0.474708	0
0.0426708	0.375182	0
0.0433725	0.27562	0
0.0436806	0.176228	0
0.0421803	0.0822909	0
0.954084	0.122738	0
0.956535	0.225702	0
0.957168	0.325158	0
0.957379	0.424428	0
0.957575	0.524567	0
0.954276	0.625555	0
0.953572	0.725482	0
0.95474	0.825575	0
0.95692	0.918252	0
0.878314	0.957054	0
0.777064	0.956412	0
0.676314	0.958019	0
0.576363	0.956628	0
0.475751	0.95794	0
0.374846	0.954299	0
0.274193	0.953831	0
0.176782	0.957772	0
0.853008	0.919702	0
0.30107	0.089065	0
0.0901843	0.704724	0
0.402394	0.088898	0
0.201315	0.084269	0
0.502185	0.0831262	0
0.603396	0.088905	0
0.703908	0.0874581	0
0.800113	0.0822804	0
0.904555	0.0928636	0
0.0879475	0.805541	0
0.251136	0.0857453	0
0.0864475	0.549042	0
0.0834598	0.854141	0
0.0881789	0.600594	0
0.0905938	0.755555	0
0.0824843	0.449325	0
0.0856886	0.350729	0
0.0873027	0.25176	0
0.0875385	0.151857	0
0.912676	0.202684	0
0.911232	0.151018	0
0.82949	0.565864	0
0.552221	0.913412	0
0.915176	0.300341	0
0.913885	0.398555	0
0.914804	0.499045	0
0.912265	0.599543	0
0.903094	0.702486	0
0.912387	0.801517	0
0.904127	0.906172	0
0.451592	0.915831	0
0.149921	0.086941	0
0.0929468	0.0954564	0
0.603402	0.912584	0
0.75349	0.912769	0
0.502019	0.916895	0
0.652813	0.915832	0
0.349357	0.90667	0
0.246727	0.908518	0
0.153254	0.917305	0
0.452029	0.0839226	0
